dataset_size,generator_name,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_macro_mean,test_f1_macro_std,validation_accuracy_mean,validation_accuracy_std,n
8718,numpy_mt19937,0.9302497451580021,0.005998697583695212,0.9166666666666666,0.9418960244648318,0.8678907790749075,0.011033876867268264,0.9276503567787971,0.00632194865035577,30
8718,numpy_pcg64,0.9291029561671763,0.005867056063398264,0.9197247706422018,0.9396024464831804,0.8660362884758616,0.011237988554699258,0.9308868501529053,0.005865910847392456,30
8718,pcg64_cp_alite1,0.9271661569826707,0.007261077279328096,0.9143730886850152,0.9396024464831804,0.8629514379375629,0.013299541608196538,0.9296381243628951,0.0064450863588810265,30
17437,numpy_mt19937,0.931497769279796,0.004532224261131763,0.9239005736137668,0.9434034416826004,0.8701376410206335,0.008810770570816846,0.9312826391542478,0.005133588484500038,30
17437,numpy_pcg64,0.932746972594009,0.004218750582788595,0.924282982791587,0.939961759082218,0.8719394787299972,0.0076938460649561,0.9313463253088778,0.004206678769478159,30
17437,pcg64_cp_alite1,0.9340216698534097,0.0038631007454853626,0.9254302103250478,0.94302103250478,0.8743395016521894,0.007996802257687776,0.9324544643994396,0.004427513882202518,30
26156,numpy_mt19937,0.9349566547679754,0.0034968648429334662,0.9291177970423252,0.9423763386027536,0.8765741332749664,0.006880063170428877,0.934548080190282,0.004273808399063961,30
26156,numpy_pcg64,0.9341832398436173,0.003603816488666442,0.9268230494645588,0.941101478837328,0.8746495246092517,0.007102875135235204,0.9350407747196738,0.0033618299878844307,30
26156,pcg64_cp_alite1,0.9345486996430393,0.003268768008160935,0.9293727689954104,0.941101478837328,0.8754849825627407,0.005897882182186174,0.9344546381243629,0.003280270511186925,30
34874,numpy_mt19937,0.936500350474734,0.0031211217479436885,0.9304148346396482,0.9420760848786084,0.879020855072027,0.006490792868691672,0.9360665137614679,0.002908089459996733,30
34874,numpy_pcg64,0.9375135410692665,0.0031559135205314367,0.9325176830433952,0.943987765245651,0.8813629216959932,0.006161268626101997,0.9362449031600408,0.0031143023035086104,30
34874,pcg64_cp_alite1,0.9353660867902887,0.003161744678072008,0.9288854903460142,0.9426495889887212,0.8769716594357585,0.0061208246788746175,0.9363978083588176,0.002800821841960702,30
