generator_name,seed,dataset_size,train_size,validation_size,test_size,elapsed_seconds
pcg64_cp_alite1,1000,34874,24411,5232,5231,0.29522283299999996
pcg64_cp_alite1,1001,34874,24411,5232,5231,0.2936282499999998
pcg64_cp_alite1,1002,34874,24411,5232,5231,0.2935849159999999
pcg64_cp_alite1,1003,34874,24411,5232,5231,0.29833870799999973
pcg64_cp_alite1,1004,34874,24411,5232,5231,0.29953287500000014
pcg64_cp_alite1,1005,34874,24411,5232,5231,0.30038300000000007
pcg64_cp_alite1,1006,34874,24411,5232,5231,0.29913495800000023
pcg64_cp_alite1,1007,34874,24411,5232,5231,0.29891966699999983
pcg64_cp_alite1,1008,34874,24411,5232,5231,0.2988097500000002
pcg64_cp_alite1,1009,34874,24411,5232,5231,0.2977758340000003
pcg64_cp_alite1,1010,34874,24411,5232,5231,0.29843766699999996
pcg64_cp_alite1,1011,34874,24411,5232,5231,0.29828941699999945
pcg64_cp_alite1,1012,34874,24411,5232,5231,0.29802512499999967
pcg64_cp_alite1,1013,34874,24411,5232,5231,0.29792020800000074
pcg64_cp_alite1,1014,34874,24411,5232,5231,0.29762475000000066
pcg64_cp_alite1,1015,34874,24411,5232,5231,0.29802091699999966
pcg64_cp_alite1,1016,34874,24411,5232,5231,0.2980331249999999
pcg64_cp_alite1,1017,34874,24411,5232,5231,0.29850933300000015
pcg64_cp_alite1,1018,34874,24411,5232,5231,0.2987322500000005
pcg64_cp_alite1,1019,34874,24411,5232,5231,0.2982379160000006
pcg64_cp_alite1,1020,34874,24411,5232,5231,0.296481
pcg64_cp_alite1,1021,34874,24411,5232,5231,0.2941172500000011
pcg64_cp_alite1,1022,34874,24411,5232,5231,0.29473962500000006
pcg64_cp_alite1,1023,34874,24411,5232,5231,0.29389408299999964
pcg64_cp_alite1,1024,34874,24411,5232,5231,0.29709620799999925
pcg64_cp_alite1,1025,34874,24411,5232,5231,0.294962709
pcg64_cp_alite1,1026,34874,24411,5232,5231,0.29417187499999997
pcg64_cp_alite1,1027,34874,24411,5232,5231,0.2956692080000014
pcg64_cp_alite1,1028,34874,24411,5232,5231,0.2968220420000005
pcg64_cp_alite1,1029,34874,24411,5232,5231,0.2950482920000006
numpy_pcg64,1000,34874,24411,5232,5231,0.006611124999999163
numpy_pcg64,1001,34874,24411,5232,5231,0.005219958999999719
numpy_pcg64,1002,34874,24411,5232,5231,0.005228917000000166
numpy_pcg64,1003,34874,24411,5232,5231,0.0052212919999998775
numpy_pcg64,1004,34874,24411,5232,5231,0.005224791999999923
numpy_pcg64,1005,34874,24411,5232,5231,0.00520695899999879
numpy_pcg64,1006,34874,24411,5232,5231,0.005213666999999589
numpy_pcg64,1007,34874,24411,5232,5231,0.005207625000000604
numpy_pcg64,1008,34874,24411,5232,5231,0.005210333000000844
numpy_pcg64,1009,34874,24411,5232,5231,0.0052061250000008386
numpy_pcg64,1010,34874,24411,5232,5231,0.005230416999999932
numpy_pcg64,1011,34874,24411,5232,5231,0.005247999999999919
numpy_pcg64,1012,34874,24411,5232,5231,0.00521270900000026
numpy_pcg64,1013,34874,24411,5232,5231,0.005196000000001533
numpy_pcg64,1014,34874,24411,5232,5231,0.005196791000001255
numpy_pcg64,1015,34874,24411,5232,5231,0.005194417000000229
